event_id,startDateEastern,week,homeConference,awayConference,predicted_lowest_price,optimal_purchase_date,optimal_purchase_time
6886433,2025-08-30T14:00:00,1,ACC,Patriot,3.25,2025-08-29,06:00
6849938,2025-08-30T19:00:00,1,ACC,SEC,290.55,2025-08-29,06:00
6861914,2025-08-30T19:00:00,1,Pac-12,ACC,23.56,2025-08-13,06:00
6886440,2025-09-06T15:00:00,2,ACC,SWAC,22.61,2025-09-05,06:00
6886445,2025-09-06T15:00:00,2,ACC,Sun Belt,12.05,2025-09-05,06:00
6863438,2025-09-06T19:00:00,2,Big Ten,ACC,45.0,2025-09-05,06:00
6953542,2025-09-13T12:00:00,3,ACC,ACC,66.69,2025-09-12,06:00
6863540,2025-09-13T19:00:00,3,ACC,Big Ten,26.06,2025-09-12,06:00
6953540,2025-09-13T19:00:00,3,ACC,ACC,7.26,2025-08-24,06:00
6953573,2025-09-20T03:00:00,4,ACC,ACC,62.8,2025-09-03,06:00
6867564,2025-09-20T19:00:00,4,Mountain West,ACC,64.91,2025-09-03,06:00
6953523,2025-09-27T03:00:00,5,ACC,ACC,12.89,2025-09-07,06:00
6956866,2025-10-04T03:00:00,6,ACC,ACC,39.76,2025-09-17,06:00
6953561,2025-10-04T03:00:00,6,ACC,ACC,146.27,2025-09-17,06:00
6957001,2025-10-04T03:00:00,6,ACC,ACC,16.77,2025-09-17,06:00
6956859,2025-10-11T03:00:00,7,ACC,ACC,40.15,2025-09-14,06:00
6956867,2025-10-17T19:00:00,8,ACC,ACC,43.87,2025-09-30,06:00
6958500,2025-10-18T03:00:00,8,ACC,FBS Independents,9.66,2025-10-17,06:00
6956888,2025-10-18T03:00:00,8,ACC,ACC,67.2,2025-10-01,06:00
6957155,2025-10-24T19:00:00,9,ACC,ACC,29.94,2025-10-07,06:00
6956914,2025-10-25T03:00:00,9,ACC,ACC,13.41,2025-10-05,06:00
6956869,2025-11-01T03:00:00,10,ACC,ACC,39.75,2025-10-15,06:00
6956882,2025-11-01T03:00:00,10,ACC,ACC,58.23,2025-10-15,06:00
6956862,2025-11-01T03:00:00,10,ACC,FBS Independents,202.37,2025-10-31,06:00
6956884,2025-11-08T03:00:00,11,ACC,ACC,86.98,2025-11-07,06:00
6956861,2025-11-08T03:00:00,11,ACC,ACC,12.03,2025-10-19,06:00
6956915,2025-11-08T03:00:00,11,ACC,ACC,12.94,2025-10-19,06:00
6956916,2025-11-14T20:00:00,12,ACC,ACC,31.5,2025-10-25,06:00
6956860,2025-11-15T03:00:00,12,ACC,ACC,12.45,2025-10-26,06:00
6957147,2025-11-22T03:00:00,13,ACC,ACC,65.62,2025-11-21,06:00
6886449,2025-11-22T03:00:00,13,ACC,Southern,19.48,2025-11-21,06:00
6957150,2025-11-29T03:00:00,14,ACC,ACC,11.72,2025-11-09,06:00
6956868,2025-11-29T03:00:00,14,ACC,ACC,39.52,2025-11-12,06:00
6868687,2025-11-29T12:00:00,14,SEC,ACC,221.26,2025-11-28,06:00
