feature,mean_importance,std_importance
days_until_game,4.736951571734001e-15,3.3495305785253868e-15
capacity,4.736951571734001e-15,3.3495305785253868e-15
conferenceGame,4.736951571734001e-15,3.3495305785253868e-15
isRivalry,2.3684757858670005e-15,3.3495305785253868e-15
homeTeamRank,2.3684757858670005e-15,3.3495305785253868e-15
neutralSite,0.0,0.0
isRankedMatchup,0.0,0.0
awayTeamRank,0.0,0.0
collectionSlot,0.0,0.0
homeConference,-0.0032429583911740187,0.002634141088238028
week,-0.00523190021977508,0.0018561433766195311
awayConference,-0.038514241384046244,0.009112529355703882
